1,0.056,0.442,10383120,0.087,0.057,0.036,3.513
2,0.076,0.022,9869544,0.07,0.027,0.042,2.565
3,0.227,1.111,26685671,0.249,0.136,0.152,5.201
4,0.041,0.003,12138277,0.11,0.024,0.076,1.4
5,0.063,0.06,12032959,0.096,0.056,0.037,1.704
6,0.077,0.004,10798008,0.083,0.012,0.08,0.905
7,0.032,0.007,10696810,0.112,0.052,0.047,1.601
8,0.281,2.452,23165418,0.212,0.194,0.165,9.502
9,0.047,0.006,5421437,0.058,0.027,0.025,1.807
10,0.174,0.043,13324530,0.132,0.063,0.117,1.937
11,0.127,0.062,14044440,0.154,0.039,0.105,1.355
12,0.11,0.006,13390931,0.149,0.058,0.096,1.344
13,0.06,0.04,1492526,0.024,0.007,0.012,3.051
14,0.245,0.025,20313159,0.227,0.046,0.179,1.358
15,0.047,0.044,3735283,0.053,0.023,0.017,3.479
16,0.122,0.087,13251207,0.153,0.083,0.094,3.6
17,0.004,0.095,3989975,0.046,0.057,0.004,2.723
18,0.135,0.177,14794181,0.222,0.034,0.136,0.703
19,0.163,0.165,11972850,0.144,0.087,0.115,2.385
20,0.06,0.044,3873616,0.082,0.023,0.03,1.4
21,0.066,0.009,9019110,0.108,0.059,0.062,1.338
22,0.116,0.164,3811847,0.056,0.003,0.043,1.878
23,0.09,0.004,14018015,0.207,0.11,0.073,1.116
24,0.15,0.074,11856849,0.159,0.061,0.099,1.243
25,0.136,0.261,8376274,0.194,0.064,0.078,1.706
26,0.137,0.025,15355836,0.279,0.092,0.132,0.795
27,0.229,0.058,19331352,0.287,0.18,0.139,2.343
28,0.12,0.346,4741264,0.073,0.039,0.046,3.295